"taxon"	"dataset"	"level"	"phase"	"val_min_gene_length"	"val_max_gene_length"	"val_mean_gene_length"	"val_num_samples"	"train_min_gene_length"	"train_max_gene_length"	"train_mean_gene_length"	"train_num_samples"	"min_gene_length"	"max_gene_length"	"mean_gene_length"	"num_samples"	"genus_confusion"	"species_confusion"
"Alopecurus_aequalis"	"Poaceae"	"species"	"train"	552	552	552	4	542	570	549.714285714286	14	542	570	550.222222222222	18	NA	0
"Alopecurus_pratensis"	"Poaceae"	"species"	"train"	549	549	549	4	542	553	546.875	16	542	553	547.3	20	NA	0
"Amberboa"	"Asteraceae"	"genus"	"train"	565	565	565	4	565	572	567	10	565	572	566.428571428571	14	0	NA
"Amberboa_turanica"	"Asteraceae"	"species"	"train"	565	565	565	4	565	572	567	10	565	572	566.428571428571	14	NA	0
"Ammophila"	"Poaceae"	"genus"	"train"	549	552	550.5	4	549	552	550.5	4	549	552	550.5	8	0.5	NA
"Ammophila_breviligulata"	"Poaceae"	"species"	"train"	549	552	550.5	4	549	552	550.5	4	549	552	550.5	8	NA	0.5
"Anaphalis"	"Asteraceae"	"genus"	"train"	552	552	552	4	552	566	557	12	552	566	555.75	16	0	NA
"Anaphalis_margaritacea"	"Asteraceae"	"species"	"train"	552	552	552	4	552	566	557	12	552	566	555.75	16	NA	0
"Anatis"	"Coccinellidae"	"genus"	"train"	550	658	623.833333333333	6	265	658	551.133333333333	15	265	658	571.904761904762	21	0	NA
"Anatis_labiculata"	"Coccinellidae"	"species"	"train"	550	658	604	2	650	658	656	4	550	658	638.666666666667	6	NA	0
"Anatis_mali"	"Coccinellidae"	"species"	"train"	561	658	609.5	2	265	658	489.666666666667	3	265	658	537.6	5	NA	0
"Anatis_ocellata"	"Coccinellidae"	"species"	"train"	658	658	658	2	307	658	521.75	8	307	658	549	10	NA	0
"Anisosticta"	"Coccinellidae"	"genus"	"train"	655	658	657.25	4	557	658	647.555555555556	27	557	658	648.806451612903	31	0	NA
"Anisosticta_bitriangularis"	"Coccinellidae"	"species"	"train"	655	658	656.5	2	567	658	646.090909090909	11	567	658	647.692307692308	13	NA	0
"Anisosticta_novemdecimpunctata"	"Coccinellidae"	"species"	"train"	658	658	658	2	557	658	648.5625	16	557	658	649.611111111111	18	NA	0
"Antennaria"	"Asteraceae"	"genus"	"train"	522	553	549.107142857143	56	505	553	549.88679245283	106	505	553	549.617283950617	162	0.821428571428571	NA
"Antennaria_alpina"	"Asteraceae"	"species"	"train"	552	552	552	4	539	552	545.5	4	539	552	548.75	8	NA	0.0714285714285714
"Antennaria_anaphaloides"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0.0714285714285714
"Antennaria_aromatica"	"Asteraceae"	"species"	"train"	553	553	553	4	553	553	553	6	553	553	553	10	NA	0
"Antennaria_densifolia"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	10	552	552	552	14	NA	0.0714285714285714
"Antennaria_flagellaris"	"Asteraceae"	"species"	"train"	553	553	553	4	553	553	553	4	553	553	553	8	NA	0
"Antennaria_friesiana"	"Asteraceae"	"species"	"train"	525	552	538.5	4	505	552	545.285714285714	14	505	552	543.777777777778	18	NA	0.0357142857142857
"Antennaria_howellii"	"Asteraceae"	"species"	"train"	552	552	552	4	522	552	544.5	8	522	552	547	12	NA	0.0714285714285714
"Antennaria_lanata"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0.0714285714285714
"Antennaria_media"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	8	552	552	552	12	NA	0.0714285714285714
"Antennaria_monocephala"	"Asteraceae"	"species"	"train"	552	552	552	4	525	552	543	6	525	552	546.6	10	NA	0.0714285714285714
"Antennaria_pulcherrima"	"Asteraceae"	"species"	"train"	524	552	538	4	552	552	552	8	524	552	547.333333333333	12	NA	0.0714285714285714
"Antennaria_racemosa"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	12	552	552	552	16	NA	0.0714285714285714
"Antennaria_rosea"	"Asteraceae"	"species"	"train"	522	552	537	4	552	552	552	14	522	552	548.666666666667	18	NA	0.0714285714285714
"Antennaria_umbrinella"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0.0714285714285714
"Anthene"	"Lycaenidae"	"genus"	"train"	625	625	625	2	625	658	641.5	2	625	658	633.25	4	0	NA
"Anthene_larydas"	"Lycaenidae"	"species"	"train"	625	625	625	2	625	658	641.5	2	625	658	633.25	4	NA	0
"Anthoxanthum"	"Poaceae"	"genus"	"train"	552	552	552	8	552	552	552	20	552	552	552	28	0.5	NA
"Anthoxanthum_arcticum"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	14	552	552	552	18	NA	0
"Anthoxanthum_monticola"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	6	552	552	552	10	NA	0.5
"Aphidecta"	"Coccinellidae"	"genus"	"train"	658	658	658	2	620	658	655.076923076923	13	620	658	655.466666666667	15	0	NA
"Aphidecta_obliterata"	"Coccinellidae"	"species"	"train"	658	658	658	2	620	658	655.076923076923	13	620	658	655.466666666667	15	NA	0
"Aphnaeus"	"Lycaenidae"	"genus"	"train"	656	658	657	2	658	658	658	2	656	658	657.5	4	0	NA
"Aphnaeus_orcas"	"Lycaenidae"	"species"	"train"	656	658	657	2	658	658	658	2	656	658	657.5	4	NA	0
"Araotes"	"Lycaenidae"	"genus"	"train"	307	307	307	2	307	656	481.5	2	307	656	394.25	4	0	NA
"Araotes_lapithis"	"Lycaenidae"	"species"	"train"	307	307	307	2	307	656	481.5	2	307	656	394.25	4	NA	0
"Arawacus"	"Lycaenidae"	"genus"	"train"	658	660	658.333333333333	6	658	660	658.076923076923	26	658	660	658.125	32	0	NA
"Arawacus_lincoides"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	6	658	658	658	8	NA	0
"Arawacus_separata"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	5	658	658	658	7	NA	0
"Arawacus_togarna"	"Lycaenidae"	"species"	"train"	658	660	659	2	658	660	658.133333333333	15	658	660	658.235294117647	17	NA	0
"Arctagrostis"	"Poaceae"	"genus"	"train"	552	552	552	4	517	552	549.307692307692	26	517	552	549.666666666667	30	0	NA
"Arctagrostis_latifolia"	"Poaceae"	"species"	"train"	552	552	552	4	517	552	549.307692307692	26	517	552	549.666666666667	30	NA	0
"Arctium"	"Asteraceae"	"genus"	"train"	552	569	555	12	531	571	549.65	40	531	571	550.884615384615	52	0.833333333333333	NA
"Arctium_lappa"	"Asteraceae"	"species"	"train"	553	569	561	4	539	571	553.333333333333	18	539	571	554.727272727273	22	NA	0.166666666666667
"Arctium_minus"	"Asteraceae"	"species"	"train"	552	552	552	4	531	553	544.75	16	531	553	546.2	20	NA	0.333333333333333
"Arctium_tomentosum"	"Asteraceae"	"species"	"train"	552	552	552	4	531	571	551.666666666667	6	531	571	551.8	10	NA	0.333333333333333
"Arctopoa"	"Poaceae"	"genus"	"train"	549	552	550.5	4	549	552	549.75	8	549	552	550	12	0	NA
"Arctopoa_eminens"	"Poaceae"	"species"	"train"	549	552	550.5	4	549	552	549.75	8	549	552	550	12	NA	0
"Arhopala"	"Lycaenidae"	"genus"	"train"	549	658	603.666666666667	6	307	658	639.470588235294	34	307	658	634.1	40	0	NA
"Arhopala_AAC8740"	"Lycaenidae"	"species"	"train"	658	658	658	2	637	658	651	3	637	658	653.8	5	NA	0
"Arhopala_centaurus"	"Lycaenidae"	"species"	"train"	550	658	604	2	307	617	491.333333333333	3	307	658	536.4	5	NA	0
"Arhopala_japonica"	"Lycaenidae"	"species"	"train"	549	549	549	2	549	658	654.107142857143	28	549	658	647.1	30	NA	0
"Aricia"	"Lycaenidae"	"genus"	"train"	585	658	650.7	10	545	660	651.405511811024	254	545	660	651.378787878788	264	0.2	NA
"Aricia_agestis"	"Lycaenidae"	"species"	"train"	658	658	658	2	617	660	656.866666666667	120	617	660	656.885245901639	122	NA	0
"Aricia_anteros"	"Lycaenidae"	"species"	"train"	658	658	658	2	545	658	651.388888888889	18	545	658	652.05	20	NA	0
"Aricia_artaxerxes"	"Lycaenidae"	"species"	"train"	585	658	621.5	2	582	658	644.208333333333	96	582	658	643.744897959184	98	NA	0
"Aricia_eumedon"	"Lycaenidae"	"species"	"train"	658	658	658	2	618	658	649.125	8	618	658	650.9	10	NA	0.2
"Aricia_nicias"	"Lycaenidae"	"species"	"train"	658	658	658	2	638	658	655.916666666667	12	638	658	656.214285714286	14	NA	0
"Arrhenatherum"	"Poaceae"	"genus"	"train"	542	549	545.5	4	542	553	545.666666666667	6	542	553	545.6	10	0	NA
"Arrhenatherum_elatius"	"Poaceae"	"species"	"train"	542	549	545.5	4	542	553	545.666666666667	6	542	553	545.6	10	NA	0
"Arumecla"	"Lycaenidae"	"genus"	"train"	658	658	658	2	622	658	646	3	622	658	650.8	5	0	NA
"Arumecla_galliena"	"Lycaenidae"	"species"	"train"	658	658	658	2	622	658	646	3	622	658	650.8	5	NA	0
"Askellia"	"Asteraceae"	"genus"	"train"	552	552	552	4	552	553	552.5	4	552	553	552.25	8	0	NA
"Askellia_pygmaea"	"Asteraceae"	"species"	"train"	552	552	552	4	552	553	552.5	4	552	553	552.25	8	NA	0
"Aslauga"	"Lycaenidae"	"genus"	"train"	307	658	581.125	16	307	658	632.302325581395	43	307	658	618.423728813559	59	0.125	NA
"Aslauga_abri"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Aslauga_ducarmei"	"Lycaenidae"	"species"	"train"	633	658	645.5	2	633	658	654.428571428571	7	633	658	652.444444444444	9	NA	0
"Aslauga_kallimoides"	"Lycaenidae"	"species"	"train"	658	658	658	2	631	658	649	3	631	658	652.6	5	NA	0
"Aslauga_lamborni"	"Lycaenidae"	"species"	"train"	307	307	307	2	658	658	658	14	307	658	614.125	16	NA	0.125
"Aslauga_marginata"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	5	658	658	658	7	NA	0
"Aslauga_prouvosti"	"Lycaenidae"	"species"	"train"	307	536	421.5	2	307	307	307	3	307	536	352.8	5	NA	0
"Aslauga_purpurascens"	"Lycaenidae"	"species"	"train"	628	658	643	2	658	658	658	5	628	658	653.714285714286	7	NA	0
"Aslauga_reducta"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	4	658	658	658	6	NA	0
"Atlides"	"Lycaenidae"	"genus"	"train"	658	660	658.5	4	569	660	647.375	8	569	660	651.083333333333	12	0	NA
"Atlides_halesus"	"Lycaenidae"	"species"	"train"	658	658	658	2	569	658	639.8	5	569	658	645	7	NA	0
"Atlides_polybe"	"Lycaenidae"	"species"	"train"	658	660	659	2	660	660	660	3	658	660	659.6	5	NA	0
"Austrostipa"	"Poaceae"	"genus"	"train"	500	620	570.625	16	545	624	578.125	32	500	624	575.625	48	0.125	NA
"Austrostipa_elegantissima"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	6	552	552	552	10	NA	0
"Austrostipa_mollis"	"Poaceae"	"species"	"train"	552	552	552	4	551	620	579	10	551	620	571.285714285714	14	NA	0
"Austrostipa_nitida"	"Poaceae"	"species"	"train"	500	620	560	4	545	552	549.666666666667	6	500	620	553.8	10	NA	0.125
"Austrostipa_scabra"	"Poaceae"	"species"	"train"	618	619	618.5	4	561	624	610	10	561	624	612.428571428571	14	NA	0
"Avena"	"Poaceae"	"genus"	"train"	549	549	549	4	508	553	540	12	508	553	542.25	16	0	NA
"Avena_fatua"	"Poaceae"	"species"	"train"	549	549	549	4	508	553	540	12	508	553	542.25	16	NA	0
"Avenella"	"Poaceae"	"genus"	"train"	552	552	552	4	540	554	547	12	540	554	548.25	16	0	NA
"Avenella_flexuosa"	"Poaceae"	"species"	"train"	552	552	552	4	540	554	547	12	540	554	548.25	16	NA	0
"Avenula"	"Poaceae"	"genus"	"train"	542	542	542	4	542	553	549.333333333333	6	542	553	546.4	10	0	NA
"Avenula_pubescens"	"Poaceae"	"species"	"train"	542	542	542	4	542	553	549.333333333333	6	542	553	546.4	10	NA	0
"Beckmannia"	"Poaceae"	"genus"	"train"	442	552	497	4	549	577	558.166666666667	12	442	577	542.875	16	0	NA
"Beckmannia_syzigachne"	"Poaceae"	"species"	"train"	442	552	497	4	549	577	558.166666666667	12	442	577	542.875	16	NA	0
"Brachiacantha"	"Coccinellidae"	"genus"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	0	NA
"Brachiacantha_rotunda"	"Coccinellidae"	"species"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	NA	0
"Brachyelytrum"	"Poaceae"	"genus"	"train"	552	552	552	4	492	553	541.666666666667	12	492	553	544.25	16	0	NA
"Brachyelytrum_erectum"	"Poaceae"	"species"	"train"	552	552	552	4	492	553	541.666666666667	12	492	553	544.25	16	NA	0
"Brephidium"	"Lycaenidae"	"genus"	"train"	658	658	658	2	648	658	657.25	16	648	658	657.333333333333	18	0	NA
"Brephidium_exilis"	"Lycaenidae"	"species"	"train"	658	658	658	2	648	658	657.25	16	648	658	657.333333333333	18	NA	0
"Briza"	"Poaceae"	"genus"	"train"	537	552	544.5	4	542	546	543.333333333333	6	537	552	543.8	10	0.5	NA
"Briza_minor"	"Poaceae"	"species"	"train"	537	552	544.5	4	542	546	543.333333333333	6	537	552	543.8	10	NA	0.5
"Bromus"	"Poaceae"	"genus"	"train"	463	603	549.590909090909	44	463	603	551.8	110	463	603	551.168831168831	154	0.272727272727273	NA
"Bromus_catharticus"	"Poaceae"	"species"	"train"	553	553	553	4	477	547	529	12	477	553	535	16	NA	0
"Bromus_erectus"	"Poaceae"	"species"	"train"	552	553	552.5	4	553	553	553	4	552	553	552.75	8	NA	0.0454545454545455
"Bromus_hordeaceus"	"Poaceae"	"species"	"train"	542	542	542	4	537	542	539.5	4	537	542	540.75	8	NA	0
"Bromus_inermis"	"Poaceae"	"species"	"train"	552	552	552	4	511	569	549.416666666667	24	511	569	549.785714285714	28	NA	0.0909090909090909
"Bromus_japonicus"	"Poaceae"	"species"	"train"	528	552	540	4	549	574	566	8	528	574	557.333333333333	12	NA	0
"Bromus_kalmii"	"Poaceae"	"species"	"train"	524	552	538	4	549	552	550.5	4	524	552	544.25	8	NA	0.0909090909090909
"Bromus_pubescens"	"Poaceae"	"species"	"train"	463	551	507	4	463	549	519.833333333333	12	463	551	516.625	16	NA	0
"Bromus_pumpellianus"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0
"Bromus_sterilis"	"Poaceae"	"species"	"train"	542	549	545.5	4	542	542	542	4	542	549	543.75	8	NA	0.0454545454545455
"Bromus_tectorum"	"Poaceae"	"species"	"train"	553	568	560.5	4	521	565	542.428571428571	14	521	568	546.444444444444	18	NA	0
"Bromus_vulgaris"	"Poaceae"	"species"	"train"	603	603	603	4	552	603	592.8	20	552	603	594.5	24	NA	0
"Cacyreus"	"Lycaenidae"	"genus"	"train"	658	658	658	2	654	658	657.555555555556	18	654	658	657.6	20	0	NA
"Cacyreus_marshalli"	"Lycaenidae"	"species"	"train"	658	658	658	2	654	658	657.555555555556	18	654	658	657.6	20	NA	0
"Calamagrostis"	"Poaceae"	"genus"	"train"	542	552	549.5	16	523	552	550.484848484848	66	523	552	550.292682926829	82	0.25	NA
"Calamagrostis_canadensis"	"Poaceae"	"species"	"train"	552	552	552	4	551	552	551.666666666667	6	551	552	551.8	10	NA	0.25
"Calamagrostis_canescens"	"Poaceae"	"species"	"train"	542	542	542	4	542	542	542	4	542	542	542	8	NA	0
"Calamagrostis_purpurascens"	"Poaceae"	"species"	"train"	552	552	552	4	523	552	549.583333333333	24	523	552	549.928571428571	28	NA	0
"Calamagrostis_stricta"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	32	552	552	552	36	NA	0
"Caleta"	"Lycaenidae"	"genus"	"train"	294	658	476	2	562	658	610	2	294	658	543	4	0.5	NA
"Caleta_roxus"	"Lycaenidae"	"species"	"train"	294	658	476	2	562	658	610	2	294	658	543	4	NA	0.5
"Callophrys"	"Lycaenidae"	"genus"	"train"	601	658	653.307692307692	26	392	658	633.251655629139	302	392	658	634.841463414634	328	0.0769230769230769	NA
"Callophrys_affinis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	5	658	658	658	7	NA	0
"Callophrys_dumetorum"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	6	658	658	658	8	NA	0.0769230769230769
"Callophrys_eryphon"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	13	658	658	658	15	NA	0
"Callophrys_fotis"	"Lycaenidae"	"species"	"train"	658	658	658	2	605	658	652.111111111111	9	605	658	653.181818181818	11	NA	0
"Callophrys_gryneus"	"Lycaenidae"	"species"	"train"	621	658	639.5	2	392	658	604.681818181818	22	392	658	607.583333333333	24	NA	0
"Callophrys_irus"	"Lycaenidae"	"species"	"train"	658	658	658	2	651	658	657.758620689655	29	651	658	657.774193548387	31	NA	0
"Callophrys_johnsoni"	"Lycaenidae"	"species"	"train"	658	658	658	2	621	658	635.7	10	621	658	639.416666666667	12	NA	0
"Callophrys_mcfarlandi"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	NA	0
"Callophrys_mossii"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	NA	0
"Callophrys_polios"	"Lycaenidae"	"species"	"train"	601	658	629.5	2	621	658	653.375	8	601	658	648.6	10	NA	0
"Callophrys_rubi"	"Lycaenidae"	"species"	"train"	658	658	658	2	399	658	625.491329479769	173	399	658	625.862857142857	175	NA	0
"Callophrys_sheridanii"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	7	658	658	658	9	NA	0
"Callophrys_spinetorum"	"Lycaenidae"	"species"	"train"	630	658	644	2	630	658	632.5	14	630	658	633.9375	16	NA	0
"Calvia"	"Coccinellidae"	"genus"	"train"	632	658	651.5	4	475	658	650.847826086957	46	475	658	650.9	50	0	NA
"Calvia_decemguttata"	"Coccinellidae"	"species"	"train"	632	658	645	2	652	658	657.454545454545	11	632	658	655.538461538462	13	NA	0
"Calvia_quatuordecimguttata"	"Coccinellidae"	"species"	"train"	658	658	658	2	475	658	648.771428571429	35	475	658	649.27027027027	37	NA	0
"Calycopis"	"Lycaenidae"	"genus"	"train"	658	658	658	22	405	658	655.134831460674	178	405	658	655.45	200	0.0909090909090909	NA
"Calycopis_bactra"	"Lycaenidae"	"species"	"train"	658	658	658	2	650	658	657.421052631579	19	650	658	657.47619047619	21	NA	0
"Calycopis_cecrops"	"Lycaenidae"	"species"	"train"	658	658	658	2	405	658	643.888888888889	18	405	658	645.3	20	NA	0
"Calycopis_cerata"	"Lycaenidae"	"species"	"train"	658	658	658	2	608	658	655.571428571429	49	608	658	655.666666666667	51	NA	0
"Calycopis_drusilla"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Calycopis_isobeon"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	14	658	658	658	16	NA	0.0909090909090909
"Calycopis_oricillula"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Calycopis_origo"	"Lycaenidae"	"species"	"train"	658	658	658	2	635	658	656.212121212121	33	635	658	656.314285714286	35	NA	0
"Calycopis_pisis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	11	658	658	658	13	NA	0
"Calycopis_thama"	"Lycaenidae"	"species"	"train"	658	658	658	2	634	658	656.153846153846	13	634	658	656.4	15	NA	0
"Calycopis_trebula"	"Lycaenidae"	"species"	"train"	658	658	658	2	648	658	656	5	648	658	656.571428571429	7	NA	0
"Calycopis_xeneta"	"Lycaenidae"	"species"	"train"	658	658	658	2	639	658	655.25	12	639	658	655.642857142857	14	NA	0
"Camissecla"	"Lycaenidae"	"genus"	"train"	658	658	658	2	623	658	655.666666666667	15	623	658	655.941176470588	17	0	NA
"Camissecla_charichlorus"	"Lycaenidae"	"species"	"train"	658	658	658	2	623	658	655.666666666667	15	623	658	655.941176470588	17	NA	0
"Candalides"	"Lycaenidae"	"genus"	"train"	307	658	599.5	6	550	658	642.571428571429	7	307	658	622.692307692308	13	0.166666666666667	NA
"Candalides_absimilis"	"Lycaenidae"	"species"	"train"	307	658	482.5	2	550	658	622	3	307	658	566.2	5	NA	0.166666666666667
"Candalides_erinus"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Candalides_heathi"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Carduus"	"Asteraceae"	"genus"	"train"	552	570	556.75	8	542	553	547.166666666667	24	542	570	549.5625	32	0.5	NA
"Carduus_crispus"	"Asteraceae"	"species"	"train"	553	570	561.5	4	542	552	544.5	8	542	570	550.166666666667	12	NA	0.5
"Carduus_nutans"	"Asteraceae"	"species"	"train"	552	552	552	4	542	553	548.5	16	542	553	549.2	20	NA	0
"Carthamus"	"Asteraceae"	"genus"	"train"	553	553	553	4	552	594	555.222222222222	36	552	594	555	40	0	NA
"Carthamus_tinctorius"	"Asteraceae"	"species"	"train"	553	553	553	4	552	594	555.222222222222	36	552	594	555	40	NA	0
"Castalius"	"Lycaenidae"	"genus"	"train"	307	615	461	2	545	658	610.8	5	307	658	568	7	0	NA
"Castalius_rosimon"	"Lycaenidae"	"species"	"train"	307	615	461	2	545	658	610.8	5	307	658	568	7	NA	0
"Catochrysops"	"Lycaenidae"	"genus"	"train"	594	606	600	2	603	658	635.222222222222	9	594	658	628.818181818182	11	0	NA
"Catochrysops_strabo"	"Lycaenidae"	"species"	"train"	594	606	600	2	603	658	635.222222222222	9	594	658	628.818181818182	11	NA	0
"Celastrina"	"Lycaenidae"	"genus"	"train"	628	658	654.75	16	513	658	654.760784313725	255	513	658	654.760147601476	271	0.6875	NA
"Celastrina_argiolus"	"Lycaenidae"	"species"	"train"	658	658	658	2	535	658	655.453608247423	194	535	658	655.479591836735	196	NA	0
"Celastrina_echo"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	4	658	658	658	6	NA	0.125
"Celastrina_idella"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	4	658	658	658	6	NA	0.0625
"Celastrina_ladon"	"Lycaenidae"	"species"	"train"	628	658	643	2	609	658	655.730769230769	26	609	658	654.821428571429	28	NA	0.0625
"Celastrina_lucia"	"Lycaenidae"	"species"	"train"	636	658	647	2	513	658	643.631578947368	19	513	658	643.952380952381	21	NA	0.0625
"Celastrina_neglecta"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0.125
"Celastrina_neglectamajor"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	4	658	658	658	6	NA	0.125
"Celastrina_nigra"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0.125
"Celmia"	"Lycaenidae"	"genus"	"train"	658	658	658	2	593	658	652.583333333333	12	593	658	653.357142857143	14	0	NA
"Celmia_celmus"	"Lycaenidae"	"species"	"train"	658	658	658	2	593	658	652.583333333333	12	593	658	653.357142857143	14	NA	0
"Centaurea"	"Asteraceae"	"genus"	"train"	542	572	553.5	16	542	571	556.277777777778	36	542	572	555.423076923077	52	0.25	NA
"Centaurea_nigra"	"Asteraceae"	"species"	"train"	542	542	542	4	542	568	550	12	542	568	548	16	NA	0
"Centaurea_nigrescens"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0
"Centaurea_pulchella"	"Asteraceae"	"species"	"train"	564	572	568	4	565	571	567.333333333333	12	564	572	567.5	16	NA	0
"Centaurea_scabiosa"	"Asteraceae"	"species"	"train"	552	552	552	4	542	569	551.25	8	542	569	551.5	12	NA	0.25
